Countries,Overall Global Gender Gap Index 2014,Overall Global Gender Gap Index 2015,Overall Global Gender Gap 2016,Overall Global Gender Gap 2017,Overall Global Gender Gap 2018,Permanent crop land 2014,Permanent crop land 2015,Permanent crop land 2016,Permanent crop land 2017,Permanent crop land 2018,GDP 2014,GDP 2015,GDP 2016,GDP 2017,GDP 2018,Food Import 2014,Food Import 2015,Food Import 2016,Food Import 2017,Food Import 2018,"Mortaility rate,Infant 2014","Mortaility rate,Infant 2015","Mortaility rate,Infant 2016","Mortaility rate,Infant 2017","Mortaility rate,Infant 2018",target 2014,target 2015,target 2016,target 2017,target 2018
Armenia,0.6622,0.668,0.669,0.677,0.678,2.012645,2.023182,2.037232,2.040745,2.075869,1.16E+10,1.06E+10,1.05E+10,1.15E+10,1.25E+10,18.86187,19.76182,19.09424,18.01112,16.08555,13.3,12.6,12,11.3,10.8,2.8,2.8,2.7,2.8,2.9
Australia,0.7409,0.733,0.721,0.731,0.73,0.050792,0.04513,0.039871,0.041732,0.041862,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,6.196155,6.562559,7.10055,6.482228,6.519643,3.4,3.3,3.2,3.2,3.2,2.5,2.5,2.5,2.5,2.5
Azerbaijan,0.6753,0.675,0.684,0.676,0.68,2.824722,2.867063,2.915205,2.985652,3.08515,7.52E+10,5.31E+10,3.79E+10,4.09E+10,4.71E+10,16.7379,14.67487,18.26959,18.98899,14.49283,24.9,23.3,21.8,20.3,19.2,2.5,2.5,2.5,2.5,2.5
Brunei Darussalam,0.6719,0.684,0.669,0.671,0.686,1.13852,1.13852,1.13852,1.13852,1.13852,1.71E+10,1.29E+10,1.14E+10,1.21E+10,1.36E+10,15.40984,15.70762,18.59533,15.00797,12.13912,8.6,8.8,9,9.2,9.4,8,7.4,6.8,6.2,5.8
Cambodia,0.652,0.662,0.658,0.676,0.683,1.076365,1.167007,1.291638,1.563562,1.7845,1.67E+10,1.80E+10,2.00E+10,2.22E+10,2.46E+10,8.016778,7.977432,7.134839,7.770113,7.411864,28.7,27.3,26,24.9,23.8,9.2,8.9,8.5,7.7,6.6
China,0.683,0.682,0.676,0.674,0.673,1.719524,1.719524,1.719524,1.718994,1.718993,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,5.817875,6.661324,6.797038,6.607395,6.189084,9,8.3,7.6,7,6.4,2.5,2.5,2.5,2.5,2.5
Cyprus,0.6741,0.671,0.684,0.684,0.684,2.922078,2.857143,2.858225,2.753247,2.845206,2.32E+10,1.98E+10,2.10E+10,2.29E+10,2.55E+10,16.64367,16.04474,15.15861,14.12486,12.94007,2.4,2.4,2.4,2.3,2.3,2.5,2.5,2.5,2.5,2.5
"Egypt, Arab Rep.",0.6064,0.599,0.614,0.608,0.614,1.079914,0.928223,0.951329,0.929228,0.817721,3.06E+11,3.29E+11,3.32E+11,2.36E+11,2.50E+11,20.88404,19.43526,20.38128,20.28547,18.32837,20.5,19.8,19.1,18.5,17.8,4.2,4.4,4.6,4.9,4.9
Georgia,0.6855,0.687,0.681,0.679,0.677,1.582962,1.582962,1.582962,1.73838,1.772917,1.76E+10,1.50E+10,1.51E+10,1.62E+10,1.76E+10,14.82364,14.60571,13.98223,14.02864,13.78899,9.7,9.4,9.1,8.8,8.7,7.9,8.1,8.3,8.1,7.8
India,0.6455,0.664,0.683,0.669,0.665,4.372408,4.372408,4.372408,4.372408,4.47331,2.04E+12,2.10E+12,2.29E+12,2.65E+12,2.70E+12,4.158515,5.243959,6.088732,5.638411,3.899162,36.9,34.9,33.1,31.4,29.8,14.8,14.5,13.9,13.2,13.3
Indonesia,0.6725,0.681,0.682,0.691,0.691,11.9839,11.9839,12.78283,13.31544,13.31544,8.91E+11,8.61E+11,9.32E+11,1.02E+12,1.04E+12,9.557597,9.967438,11.60885,10.99181,10.20873,24.1,23.2,22.4,21.6,20.8,7.9,7.2,6.6,5.9,5.9
"Iran, Islamic Rep.",0.5811,0.58,0.587,0.583,0.589,1.098996,1.098996,1.098996,1.124191,1.14453,4.60E+11,4.08E+11,4.58E+11,4.87E+11,3.31E+11,23.38351,22.40233,20.49275,20.19155,25.55914,13.8,13.3,12.8,12.4,11.9,4.9,4.7,4.9,5.2,5.2
Israel,0.7005,0.712,0.719,0.721,0.722,4.491682,4.468577,4.48244,4.436229,4.61183,3.11E+11,3.00E+11,3.19E+11,3.55E+11,3.74E+11,7.72745,8.426928,8.432859,8.744232,8.419163,3.2,3.2,3.1,3,3,2.5,2.5,2.5,2.5,2.5
Japan,0.6584,0.67,0.66,0.657,0.662,0.812071,0.798354,0.78738,0.776406,0.762689,4.90E+12,4.44E+12,5.00E+12,4.93E+12,5.04E+12,8.483403,10.03603,10.34782,10.04371,9.424722,2.1,2,2,1.9,1.9,2.5,2.5,2.5,2.5,2.5
Jordan,0.5968,0.593,0.603,0.604,0.605,0.951791,0.973192,0.976571,0.878576,0.887587,3.68E+10,3.86E+10,3.99E+10,4.14E+10,4.29E+10,17.77247,18.94543,21.09738,18.67007,18.9064,15.4,15,14.6,14.1,13.7,6,6.3,7.1,8.8,11.2
Kazakhstan,0.721,0.719,0.718,0.713,0.712,0.048894,0.048894,0.048894,0.048894,0.048894,2.21E+11,1.84E+11,1.37E+11,1.67E+11,1.79E+11,10.27572,10.85395,11.72634,11.42393,10.52349,11.6,10.6,9.8,9.4,9.2,2.5,2.5,2.5,2.5,2.5
Kuwait,0.6457,0.646,0.624,0.628,0.63,0.37037,0.319865,0.3367,0.381594,0.3367,1.63E+11,1.15E+11,1.09E+11,1.21E+11,1.38E+11,15.61604,15.84483,15.00404,15.05447,15.02751,7.7,7.5,7.4,7.4,7.5,2.5,2.5,2.5,2.5,2.5
Kyrgyz Republic,0.6974,0.693,0.687,0.691,0.691,0.674177,0.655546,0.636915,0.618284,0.599653,7.47E+09,6.68E+09,6.81E+09,7.70E+09,8.27E+09,14.73327,13.93596,11.90062,14.07184,11.11107,20.9,19.9,18.9,18,17.1,6.1,6.3,6.1,5.8,5.4
Lao PDR,0.7044,0.713,0.724,0.703,0.748,12.70772,12.90323,13.09873,13.3089,13.1349,1.33E+10,1.44E+10,1.59E+10,1.71E+10,1.81E+10,4.165633,5.262027,13.25361,12.07839,12.38177,43.8,42.1,40.5,39.1,37.8,8,6.7,5.9,5.6,5.3
Lebanon,0.5923,0.598,0.598,0.596,0.595,12.70772,12.70772,12.70772,12.70772,12.70772,4.81E+10,4.99E+10,5.11E+10,5.30E+10,5.49E+10,17.28311,17.58158,17.13948,32.90708,17.18053,7.4,7.1,6.8,6.6,6.4,5.5,5.9,6.2,6.8,7.1
Malaysia,0.652,0.655,0.666,0.67,0.676,21.30574,22.70479,22.70583,22.70583,22.70583,3.38E+11,3.01E+11,3.01E+11,3.19E+11,3.59E+11,7.92296,8.749143,8.69098,7.994088,7.448245,6.8,6.9,7,7.1,7.2,3.6,3.8,3.5,3.2,2.7
Mongolia,0.7212,0.709,0.705,0.713,0.714,0.003211,0.003211,0.003211,0.003211,0.003211,1.22E+10,1.16E+10,1.12E+10,1.15E+10,1.32E+10,8.988345,12.46991,15.11066,12.46227,11.40806,17.4,16.6,15.9,15.1,14.4,10.1,8.4,7.4,6.3,5.5
Nepal,0.6458,0.658,0.661,0.664,0.671,1.478898,1.478898,1.478898,1.478898,1.478898,2.27E+10,2.44E+10,2.45E+10,2.90E+10,3.31E+10,17.93573,17.91359,18.23288,17.64286,15.19956,30.5,29.2,27.8,26.6,25.5,6.1,5.3,4.5,4.2,4.3
Pakistan,0.5522,0.559,0.556,0.546,0.55,1.053342,1.040369,1.042964,1.028694,1.028694,2.44E+11,2.71E+11,3.14E+11,3.39E+11,3.56E+11,11.72853,12.09752,12.50835,11.80993,10.03771,63.8,62.1,60.5,58.9,57.3,13.4,12.8,12.4,12.1,12.3
Philippines,0.7814,0.79,0.786,0.79,0.799,18.1373,18.23456,18.33182,18.42908,18.52634,2.97E+11,3.06E+11,3.19E+11,3.28E+11,3.47E+11,12.17198,11.71616,11.61714,11.07477,11.19207,23.7,23.4,23,22.6,22.1,11.1,10.2,8.8,7.5,6.2
Saudi Arabia,0.6059,0.605,0.583,0.584,0.59,0.067591,0.068382,0.069778,0.073545,0.076988,7.56E+11,6.54E+11,6.45E+11,6.89E+11,8.17E+11,14.28147,13.72737,15.77657,15.97347,14.46329,8.3,7.8,7.3,6.9,6.6,4.3,3.7,3.7,3.7,3.8
Sri Lanka,0.6903,0.686,0.673,0.669,0.676,15.94642,16.15692,16.15692,16.15692,16.16449,7.94E+10,8.06E+10,8.24E+10,8.74E+10,8.80E+10,13.204297,13.12407,11.93686,12.95604,11.644341,7.9,7.5,7.1,6.7,6.4,6,5.2,4.7,4.3,4.1
Thailand,0.7027,0.706,0.699,0.694,0.702,9.395369,9.591106,9.786843,9.982579,10.17832,4.07E+11,4.01E+11,4.13E+11,4.56E+11,5.07E+11,5.56237,6.325328,6.833572,6.342096,5.995588,9.7,9.3,8.9,8.5,8.1,7.8,7.3,7.5,7.7,7.8
Turkey,0.6183,0.624,0.623,0.625,0.628,4.207216,4.266985,4.325455,4.350142,4.491769,9.39E+11,8.64E+11,8.70E+11,8.59E+11,7.78E+11,5.723888,5.801195,6.017308,5.89324,6.089662,11.9,11.1,10.5,9.8,9.2,2.5,2.5,2.5,2.5,2.5
United Arab Emirates,0.6436,0.646,0.639,0.649,0.642,0.542101,0.544917,0.553365,0.553365,0.554773,4.03E+11,3.58E+11,3.57E+11,3.86E+11,4.22E+11,5.526833,5.785919,5.910808,6.997079,7.305793,6.7,6.5,6.3,6.2,6,6.6,6.5,6.3,6.4,6.2
Vietnam,0.6915,0.687,0.7,0.698,0.698,12.19704,14.369,14.46199,14.48135,14.50536,2.33E+11,2.39E+11,2.57E+11,2.81E+11,3.09E+11,8.416992,8.737545,8.01962,7.927851,7.533456,17.6,17.4,17.3,17.1,17,8.6,8.1,7.8,7.2,6.8
